Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,394.57,413.37,493.14,619.11,564.32,734.49,863.75,961.6,1029.06,1094.01,1211.33,1339.4,1470.56,1660.28,1955.35,2285.96,2752.12,3550.33,4594.34,5101.69,6087.19,7551.55,8532.19,9570.47,10475.6,11061.6,11233.3,12310.5,13894.9,14280.0,14687.7
Germany,1771.67,1868.95,2131.57,2071.32,2205.07,2585.79,2497.24,2211.99,2238.99,2194.95,1947.98,1945.79,2078.48,2501.64,2814.35,2846.86,2994.7,3425.58,3745.26,3411.26,3399.67,3749.31,3527.14,3733.8,3889.09,3357.59,3469.85,3690.85,3974.44,3889.18,3887.73
India,320.98,270.11,288.21,279.3,327.28,360.28,392.9,415.87,421.35,458.82,468.39,485.44,514.94,607.7,709.15,820.38,940.26,1216.74,1198.9,1341.89,1675.62,1823.05,1827.64,1856.72,2039.13,2103.59,2294.8,2651.47,2702.93,2835.61,2671.6
Japan,3185.9,3648.07,3980.7,4536.94,4998.8,5545.56,4923.39,4492.45,4098.36,4635.98,4968.36,4374.71,4182.85,4519.56,4893.12,4831.47,4601.66,4579.75,5106.68,5289.49,5759.07,6233.15,6272.36,5212.33,4896.99,4444.93,5003.68,4930.84,5040.88,5117.99,5048.79
United States,5963.144,6158.129,6520.327,6858.559,7287.236,7639.749,8073.122,8577.554457,9062.818202,9631.174489,10250.947997,10581.929774,10929.112955,11456.442041,12217.193198,13039.199193,13815.586948,14474.226905,14769.857911,14478.064934,15048.964444,15599.728123,16253.97223,16843.190993,17550.680174,18206.020741,18695.110842,19477.336549,20533.057312,21380.976119,21060.473613
