Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,99.80,113.69,138.54,144.19,163.43,153.94,174.94,218.50,263.71,306.16,289.58,283.93,304.75,313.73,309.84,300.51,327.09,407.85,456.29,394.57,413.37,493.14,619.11,564.32,734.49,863.75,961.60,1029.06,1094.01,1211.33,1339.40,1470.56,1660.28,1955.35,2285.96,2752.12,3550.33,4594.34,5101.69,6087.19,7551.55,8532.19,9570.47,10475.60,11061.60,11233.30,12310.50,13894.90,14280.00,14687.70,17820.50,17963.20
Germany,249.98,299.80,398.37,445.30,490.64,519.75,600.50,740.47,881.35,950.29,800.47,776.58,770.68,725.11,732.54,1046.26,1298.18,1401.23,1398.97,1771.67,1868.95,2131.57,2071.32,2205.07,2585.79,2497.24,2211.99,2238.99,2194.95,1947.98,1945.79,2078.48,2501.64,2814.35,2846.86,2994.70,3425.58,3745.26,3411.26,3399.67,3749.31,3527.14,3733.80,3889.09,3357.59,3469.85,3690.85,3974.44,3889.18,3887.73,4278.50,4082.47
India,67.35,71.46,85.52,99.53,98.47,102.72,121.49,137.30,152.99,186.32,193.49,200.72,218.26,212.16,232.51,248.99,279.03,296.59,296.04,320.98,270.11,288.21,279.30,327.28,360.28,392.90,415.87,421.35,458.82,468.39,485.44,514.94,607.70,709.15,820.38,940.26,1216.74,1198.90,1341.89,1675.62,1823.05,1827.64,1856.72,2039.13,2103.59,2294.80,2651.47,2702.93,2835.61,2671.60,3150.31,3416.65
Japan,245.36,324.93,441.46,490.04,532.86,598.88,737.07,1035.61,1077.91,1129.38,1245.22,1158.73,1270.86,1345.82,1427.02,2120.08,2580.75,3125.72,3109.46,3185.90,3648.07,3980.70,4536.94,4998.80,5545.56,4923.39,4492.45,4098.36,4635.98,4968.36,4374.71,4182.85,4519.56,4893.12,4831.47,4601.66,4579.75,5106.68,5289.49,5759.07,6233.15,6272.36,5212.33,4896.99,4444.93,5003.68,4930.84,5040.88,5117.99,5048.79,5005.54,4232.17
United States,1164.85,1279.11,1425.376,1545.243,1684.904,1873.412,2081.826,2351.599,2627.333,2857.307,3207.041,3343.789,3634.038,4037.613,4338.979,4579.631,4855.215,5236.438,5641.58,5963.144,6158.129,6520.327,6858.559,7287.236,7639.749,8073.122,8577.554457,9062.818202,9631.174489,10250.947997,10581.929774,10929.112955,11456.442041,12217.193198,13039.199193,13815.586948,14474.226905,14769.857911,14478.064934,15048.964444,15599.728123,16253.97223,16843.190993,17550.680174,18206.020741,18695.110842,19477.336549,20533.057312,21380.976119,21060.473613,23315.08056,25439.7
